Title,Author,Imprint,Subject,Shelf Location,Held,Catalogued - Syd,Catalogued - Bri
Architecture: Lisbon Expo 98,,"Portugal: Blau, 1998",Exhibition Centres|Expos - Lisbon|Pavilions,725.910 469 LIS,Sydney,12/02/2010,
Architecture: super-quick techniques for amazing drawings,"Steel, Liz","Richmond Hill, Ontario: Firefly Books, 2016",Architecture in Art|Drawing - Technique,743.84 STE,Brisbane|Sydney,1/11/2018,1/11/2018
Area 2: 100 graphic designers; 10 curators; 10 design classics,,"London : Phaidon Press, 2008",Graphic Design|Graphic Artists,741.6 ARE,Brisbane,,10/06/2008
Art &  place: site-specific art of the Americas,"Renshaw, Amanda (ed)","New York: Phaidon Press, 2013",Art|Art and Architecture|Sculpture,709.7 ART,Sydney,3/24/2014,
Art and technique of the vertical terracotta surface,,"Florence, Italy: Il Palagio, 2002",Cladding,693 ART,Brisbane,,10/04/2017
Art deco,"Wolf, Norbert","Munich: Prestel, 2013",Art Deco,709.0412 WOL,Sydney,24/03/2016,
Art deco 1910-1939,"Benton, Charlotte (ed)","London:V& A Publishing, 2015",Art Deco,709.04012 ART,Sydney,24/03/2016,
Art deco complete: the definitive guide to the decorative arts of the 1920s and 1930s,"Duncan, Alastair","London: Thames & Hudson, 2009",Art Deco,709.0412 DUN,Sydney,24/03/2016,
Art for life: Mater Mothers' Hospitals art collection (opened May 2008),,"[Brisbane] : Mater Health Services, 2008",Art|Art and Architecture|Hospitals - Australia|BVN Architecture (Bligh Voller Nield),725.51 ART,Brisbane|Sydney,25/02/2009,16/02/2009
Art house: Gallery of Modern Art Queensland,"Hyatt, Peter","Victoria: Thames & Hudson Australia, 2008",Architectus|Art Galleries - Australia|Davenport Campbell,727.7 HYA,Sydney,11/03/2009,
Art spaces: architecture and design,,"Cologne: Daab, 2006",Art|Art Galleries|Museums|Exhibition Spaces,727.7 ART,Brisbane,,29/06/2009
Artifacts and crafts of Papua New Guinea,,"Hong Kong: Handcraft Industry of Papua New Guinea, [nd]",Art|Artists,995.3 ART,Brisbane,,
"Arts, health & well-being","Philipp, Robin et al","London: The Nuffield Trust, 2002",Arts|Healing,725.5 ART,Sydney,5/05/2010,
ASB North Wharf design manual: activity based working environments,,,,720.993  ASB,Sydney,29/06/2017,
Asia beyond growth: urbanization in the world's fastest-changing continent,EDAW|Aecom,,,307.76095 ASI,Sydney,4/15/2013,
Asian resorts,"Tan, Hock Beng","Singapore: Page One Publishing, 2003",Architecture - Asia|Resorts,728.5095 TAN,Brisbane,,2/03/2005
Assembling a collaborative project team,Royal Institute of British Architects (RIBA),"London: Riba Publishing, 2013",Architectural Practice - UK|Project Management,720.68 RIBA,Brisbane,8/06/2012,
At home with the makers of style,"Scott, Grant|Scott-Jeffries, Amanda","London : Thames & Hudson, 2005",,747.0922 SCO,Brisbane,,3/06/2008
Athletic & recreational facilities : new concepts In architecture & design,,"Japan: Meisei Publications, 1995",Sports Buildings - Japan|Clubhouses|Gymnasiums|Stadiums,725.8 ATH,Sydney,23/02/2006,
Athletic facilities: hundred outstanding architects,"Chan, Bernard (ed)","Hong Kong: Pace Publshing, 2002",Athletic Facilities,725.8 HUN,Sydney,23/02/2006,
Atlas of office interiors,"Vidiella, A`lex Sa´nchez","Massachusetts: Rockport, 2008",Workplace Design,725.23 VID,Brisbane,,1/11/2017
"A-typical plan: projects and essays on identity, flexibility and atmosphere in the office","Kuo, Jeannette (ed)","Zurich: Park Books, 2013",Office Buildings|Workplace Design - Case Studies|Floor Plans,725.23 ATY,Sydney,5/26/2014,
Auditorium acoustics and architectural design,"Barron, Michael","London: E&F SPON, 1993",Acoustics|Auditoriums|Concert Halls|Theatres,725.83 BAR,Sydney,20/02/2006,
Aurora Place,Lend Lease Property Group,"Sydney: Lend Lease, 2001","Office Buildings - Australia|Renzo Piano Building Workshop|Piano, Renzo",720.922 LEN,Sydney,11/12/2006,
Aurora Place Renzo Piano Sydney,"Metcalf, Andrew","Sydney: Watermark Press, 2001","Office Buildings - Australia|Apartment Buildings - Australia|Renzo Piano Building Workshop|Piano, Renzo",720.92 PIA,Sydney,11/12/2006,
Austral Eden : 200 years of Australian architecture,"Bingham-Hall, Patrick","Sydney: Watermark Press, 1999",Architecture - Australia - History|Australia - Pictorial Works,720.994 BIN,Brisbane|Sydney,19/01/2006,
Australia : images of a continent,,,Australia - Pictorial Works,994 AUS,Brisbane,,
"Australia Modern: architecture, landscape &  design","Lewi, Hannah|Goad, Philip","Melbourne: Thames &  Hudson Australia, 2019",Architecture - Australia - 20th Century,720.994 LEW,Brisbane|Sydney,8/08/2019,8/08/2019
"Australia Square, Sydney","Seidler, Harry","Sydney: Horwitz Publications, 1969","Architecture - Sydney|Office Buildings - Sydney|Seidler, Harry",720.92 SEI,Sydney,2/08/2006,
Australia: health projects 1975 - 1985,,"Sydney: Australian Hospital Association, 1981",Hospitals - Australia - History|Hospitals - Design and Construction,725.510994 AUS,Brisbane|Sydney,23/04/2009,
"Australian architects: Philip Cox, Richardson, Taylor and Partners",,"ACT: RAIA Education Division, 1988","Cox, Philip|Philip Cox, Richardson, Taylor and Partners",720.922 COX,Sydney,21/03/2018,
Australian architecture now,"Jackson, Davina|Johnson, Chris","London: Thames & Hudson, 2000","Architecture - Australia|Architecture, Modern - 20th Century",720.994 JAC,Sydney,23/01/2006,
Australian architecture since 1960,"Taylor, Jennifer","Red Hill, ACT: National Education Division, RAIA, 1990",Architecture - Australia - History,720.994 TAY,Sydney,5/26/2014,
Australian built : a photographic exhibition of recent Australian architecture,"Griggs, Michael (ed)|McGregor, Craig","Sydney: Design Arts Board Australia Council, 1985","Architecture - Australia - History|Architecture, Modern - 20th Century",720.994074 AUS,Brisbane|Sydney,13/12/2006,
Australian Capital Territory crime prevention and urban design resource manual,Sarkissian Associates Planners|ACT Planning and Land Management,"Canberra: ACT Planning and Land Management, 2000",Crime Prevention|Urban Planning,Archives SYD01511323,Sydney,12/21/2010,
"Australian country houses : homesteads, farmsteads and rural retreats","Lucas, Clive|Joyce, Ray","Sydney: Lansdowne Press, 1987",Country Houses|Houses - Australia,728.37 LUC,Brisbane,,
Australian healthcare design 2000-2015,International Academy for Design & Health,"London: International Academy for Design & Health, 2013",Healthcare - Australia|Healthcare Buildings - Australia,725.51 0994 INT,Brisbane|Sydney,7/22/2013,7/22/2013
Australian stainless reference manual 2020,Australian Stainless Steel Development Association (ASSDA),"Brisbane: ASSDA, 2020",Stainless Steel|Building Materials - Directories,691 ASSDA 2020,Brisbane|Sydney,15/07/2020,
Australian steel detailers' handbook,Australian Steel Institute (ASI),"Sydney: ASI, 1999 [2003]",Steel in Architecture|Steel Construction,696 ASI,Sydney,5/08/2012,
Australia's Parliament House 1988 : the construction process,Parliament House Construction Authority,"Canberra: AGPS, 1980",Urban Planning - Canberra|Government Buildings - Parliament,725.11099471 AUS,Sydney,13/12/2006,
Automatic sketchup: creating 3-D models in Ruby,"Scarpino, Matthew","US: Eclipse Engineering LLC, 2010",Model Making|Computer-Aided Design (CAD)|Digital Architecture,721.018 SCA,Sydney,17/08/2010,
Automobile dependence : the irresistible force?,"Kenworthy, Jeff|Newman, Peter","Perth: Institute for Science & Technology Policy, Murdoch University, 1993",Traffic Management,388.4 KEN,Sydney,21/02/2006,
AV Monographs 135-136 Spain Yearbook 2009,,"Spain: Arquitectura Viva, 2009",Architecture - Spain|Architects - Spain,720.946 SPA,Sydney,1/16/2012,
AV Monographs 152 (2011),,"Madrid, Spain: Arquitectura Viva, 2011",Schools,727 GLO,Sydney,6/05/2012,
AV Monographs 156 (2012),,"Madrid, Spain: Arquitectura Viva, 2012",Housing - Europe,728.3 EUR,Sydney,11/27/2012,
Back to the city: strategies for informal urban interventions,"Lehmann, Steffen (ed)","Germany : Hatje Cantz Verlag, 2009",City Planning|Urban Planning|Public Spaces|Art and Architecture,307.3416 BAC,Brisbane,,6/04/2017
Balancing the bargain : a survey of users' expectations for the office of the millennium,PA Consulting Group,"London: PA Consulting Group, 1998",Workplace Design|Offices,725.23 BAL,Sydney,9/08/2006,
Bali houses: new wave Asian architecture and design,"Francione, Gianni","Singapore: Periplus, 2002",Architecture - Bali|Houses,720.95 FRA,Brisbane,,13/09/2004
Ballymore Eastern Stand and ANZ Stadium Roof,,,Stadiums - Australia|Grandstands|Roofing Systems,725.8043 BHP Brochure,Sydney,22/02/2006,
Bangkok 2008 : application for candidature to host the 2008 Olympic Games,BVN Architecture (Bligh Voller Nield),,Olympic Games - Thailand - Bangkok,Archives SYD02543401,Sydney,25/05/2005,
Bangkok sports infrastructure - a technical handbook : profiling the city's world-class precincts and facilities,BVN Architecture (Bligh Voller Nield),,Olympic Games - Thailand - Bangkok|Sports Buildings - Thailand,Reference,Sydney,25/05/2005,
Bangkok sports infrastructure - a technical handbook : profiling the city's world-class precincts and facilities,BVN Architecture (Bligh Voller Nield),"Sydney: BVN, July 2000",Olympic Games - Thailand - Bangkok,Reference,Sydney,25/05/2005,
Bank building,,"China: Dalian University of Technology Press, 2012",Banks,725.2 BAN,Sydney,7/30/2014,
Barcelona : city and architecture 1980-1992,"Bohigas, Oriol|Buchanan, Peter|Lampugnani, Vittorio Magnago","Barcelona: Rizzoli, 1990",Olympic Games - Spain - Barcelona|Olympic Village - Spain - Barcelona,796.480946 BOH,Sydney,20/02/2006,
Bates Smart: 150 years of Australian architecture,"Goad, Philip","Melbourne: Thames & Hudson Australia, 2004",Architecture - Australia|Bates Smart,720.922 BAT,Brisbane|Sydney,15/01/2009,23/01/2009
Bates Smart: Sydney 95-05,Bates Smart,"[Sydney]: Bamba Press, 2005",Bates Smart|Architecture - Sydney,720.922 BAT,Brisbane|Sydney,20/01/2009,11/14/2013
Bawa: the Sri Lanka gardens,"Robson, David","London: Thames & Hudson, 2008","Gardens|Architecture - Sri Lanka|Bawa, Geoffrey",720.92 BAW,Sydney,5/11/2015,
"BC AD Benthem Crouwel, 1979-2009","Schipper, Kirsten","Rotterdam : 010 Publishers, 2010",Benthem Crouwel Architekten|Architecture - Netherlands|Modern Movement (Architecture),720.922 BEN 2010,Brisbane,,01/31/2011
Beach cottages,"Falkenberg, Haike (ed)","New York: HarperCollins, Loft Publications, 2002",Beach Houses,728.7 BEA,Brisbane,,
Beach houses of Australia and New Zealand,"Crafti, Stephen","Melbourne: Image Publishing, 2000",Architecture - Australia|Architecture - New Zealand|Beach Houses,728.7 CRA,Brisbane,,Sep-00
Beautiful ugly: the architectural photography of John Gollings,"Rollo, Joe","Melbourne: Thames &  Hudson Australia, 2011","Gollings, John|Architectural Photography|Architecture - Australia - Pictorial Works",779.4 GOL,Sydney,1/16/2012,
Before and after,"Weizman, Eyal|Weizman, Ines","[Moscow]: Strelka Press, 2013",,Strelka Press,Sydney,3/10/2015,
Beginnings : Louis I. Kahn's philosophy of architecture,"Tyng, Alexandra","Brisbane: John Wiley and Sons, 1984","Architectural Philosophy|Kahn, Louis",720.92 KAH,Brisbane,,
Behind bars: design for cafes and bars,,"Amsterdam: Frame Publishers, 2008",Bars|Cafes,725.71 BEH,Sydney,26/11/2008,
Beijing: architecture & design,"Vranckx, Bridget (ed)","Cologne: Daab, 2008",Architecture - China - Beijing|Interior Design - China|Olympic Games - China - Beijing|Olympic Games - Architecture,720.951 BEI,Sydney,11/03/2009,
Belconnen town centre: policy development plan,,,,Archives SYD01511323,Sydney,12/22/2010,
Belyayevo forever,"Snopek, Kuba","[Moscow]: Strelka Press, 2013",,Strelka Press,Sydney,3/10/2015,
Bent Ply: the art of plywood furniture,"Ngo, Dung|Pfeiffer, Eric","New York: Princeton Architectural Press, 2003",Furniture - Design|Plywood,684.104 NGO,Brisbane,,8/12/2006
"Bernard Maybeck : artisan, architect, artist","Cardwell, Kenneth H","Salt Lake City: Peregine Smith Books, 1977","Architecture - USA|Maybeck, Bernard",720.92 MAY,Brisbane,,
Best Australian architecture,"Takle, Gary","South Morange, Vic: Think Publishing, 2010",Architecture - Australia - 21st Century,720.994 TAK,Brisbane,,30/07/2010
"Best designed hotels in Asia, Australia and New Zealand","Kaufman, David","Augsburg: Lebensart Global Networks, 2001",Hotels,728.5 KAU,Brisbane,,Dec-01
Best designed modular houses,"Kunz, Martin Nicholas","Stuttgart: Fusion Publishing, 2005",Portable Architecture|Prefabricated Houses,721 KUN,Sydney,11/09/2007,
Best tall buildings: a global overview of 2016 skyscrapers,"Wood, anthony|Council on Tall Buildings and Urban Habitat (CTBUH)","Mulgrave, Victoria: Images Publishuing, 2016",Anthony Wood,720.483 CTBUH,Brisbane,,28/02/2018
Better urban living : guidelines for urban housing in NSW,Urban Design Advisory Service|NSW. Department of Urban Affairs and Planning (DUAP)|NSW. Department of Public Works and Services,"NSW: Government Publisher, 1998",Houses - NSW - Design and Construction|Urban Planning,728.309944 URB,Sydney,28/02/2006,
Beyond Bawa: modern masterworks of monsoon asia,"Robson, David","London: Thames & Hudson, 2007","Bawa, Geoffrey",720.92 BAW,Brisbane,,3/12/2007
Beyond bending: reimagining compression shells,"Block, Philippe et al","Munich: Edition Detail, [2017]",Shells - Engineering|Structural Engineering,624.1 BLO,Sydney,1/10/2019,
Beyond shelter: architecture for crisis,"Aquilino, Marie","London: Thames & Hudson, 2010",Emergency Architecture,728 AQU,Brisbane|Sydney,6/27/2011,24/06/2011
"Beyond the facade: Flinders Street, more than just a railway station","Davies, Jenny","Mt Macedon, Vic: Jenny Davies, 2008",Flinders Street Railway Station Melbourne|Railway Stations - Australia - History,385. 314 099451 DAV,Brisbane|Sydney,10/04/2012,29/05/2017
"Big BIM, little bim","Jernigan, Finith","Salisbury, Md. : 4Site Press, c2008",BIM (Building Information Modelling)|Computer-Aided Design (CAD),690 .0285 JER,Brisbane,,25/02/2011
"BIM content development: standards, strategies and best practices","Weygant, Robert S","Hoboken, N.J. : Wiley, c2011",BIM (Building Information Modelling),690.0285 WEY,Brisbane,,14/11/2011
BIM management handbook,"Shepherd, David","London: RIBA Publications, 2015",BIM (Building Information Modelling),721.018 SHE,Brisbane|Sydney,14/01/2016,14/01/2016
Bioclimatic housing: innovative designs for warm climates,"Hyde, Richard (ed)","London: Earthscan, 2008",Architecture and Climate|Architecture - Arid Regions|Energy Efficient Buildings|Houses,720.47 BIO,Sydney,23/10/2008,
Bioclimatic skyscrapers,"Yeang, Ken|Hamzah and Yeang","London: Ellipsis, 1994",Architecture and Climate|Skyscrapers,720.483 YEA,Sydney,12/11/2009,
Biomimicry: innovation inspired by nature,"Benyus, Janine M","New York: Harper Perennial, 2002",Technological Innovations|Team Skills Programme (TSP),600 BEN,Sydney,23/06/2009,
Blank: speculations on CLT,"Bonner, Jennifer|Kara, Hanif","Applied Research & Design Publishing, 2021",Cross-laminated Timber (CLT),694 BON,Brisbane|Sydney,4/19/2022,4/19/2022
Bligh Voller Nield Monograph,Bligh Voller Nield,"Beijing: China Architecture & Building Press, 2005",Architecture - Australia|BVN Architecture (Bligh Voller Nield) Practice - History,720.93394 BVN,Brisbane|Sydney,,
Block housing : a contemporary perspective,"Mira, Pere Joan Ravetllat","Barcelona: Gustavo Gili, 1992",Medium Density Housing|Apartment Buildings,728.314 MIR,Sydney,27/02/2006,
Blueprint for tomorrow: redesigning schools for student-centered learning,"Nair, Prakash","Cambridge, Massachusetts: Harvard Education Press, [2014]",Schools|Student Centred Learning|Learning Spaces,727 NAI,Sydney,14/01/2016,
Bolles + Wilson: a handful of productive paradigms,"Bolles-Wilson, Julia|Wilson, Peter","Munster: Bolles+Wilson, 2009",Bolles + Wilson,720.922 BOL,Brisbane|Sydney,13/07/2010,1/02/2010
Bon appetit: restaurant design,"Willems, Marlous (ed)","Amsterdam: Frame Publishers, 2006",Restaurants,725.71 BON,Sydney,11/19/2013,
Books do furnish a room,"Geddes-Brown, Leslie","London : Merrell, 2009",,747.9 GED,Brisbane,,23/11/2009
Booming bamboo: the (re)discovery of a sustainable material with endless possibilities,"Van Der Lugt, Pablo","Netherlands: Materia Exhibitions, 2017",Bamboo|Bamboo in Architecture|Building Materials - Sustainable,693.9 VAN,Sydney,3/11/2020,
Botanical gardens and zoos,,,Botanical Gardens|Zoos|Zoos - History,727.659 TOP,Sydney,19/01/2010,
"Brand lands, hot spots and cool spaces","Mikunda, Christian","London: Kogan, 2004",Marketing|Events Management,659 MIK,Sydney,3/26/2012,
Brick,"Hall, William","London: Phaidon Press, 2015",Bricks|Brickwork,721.0442 BRI,Brisbane|Sydney,12/01/2017,25/06/2018
